season,team1,team2,toss_winner,toss_decision,venue,winner,result,result_margin,target_runs
3,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,"Sardar Patel Stadium, Motera",Delhi Capitals,wickets,6.0,142.0
3,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,bat,M Chinnaswamy Stadium,Royal Challengers Bangalore,wickets,8.0,204.0
3,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Eden Gardens,Chennai Super Kings,runs,55.0,165.0
3,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Feroz Shah Kotla,Mumbai Indians,runs,98.0,219.0
3,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,wickets,10.0,93.0
3,Deccan Chargers,Punjab Kings,Punjab Kings,field,Barabati Stadium,Deccan Chargers,wickets,5.0,186.0
3,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Feroz Shah Kotla,Chennai Super Kings,runs,6.0,171.0
3,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Brabourne Stadium,Royal Challengers Bangalore,runs,34.0,169.0
3,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,"Sardar Patel Stadium, Motera",Rajasthan Royals,wickets,7.0,152.0
3,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,Barabati Stadium,Deccan Chargers,runs,10.0,172.0
3,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk",,tie,,137.0
3,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,Brabourne Stadium,Mumbai Indians,wickets,7.0,156.0
3,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,runs,36.0,172.0
3,Punjab Kings,Rajasthan Royals,Punjab Kings,field,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,runs,31.0,184.0
3,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"Brabourne Stadium, Mumbai",Mumbai Indians,wickets,5.0,181.0
3,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Delhi Capitals,runs,17.0,184.0
3,Rajasthan Royals,Deccan Chargers,Deccan Chargers,bat,"Sardar Patel Stadium, Motera",Rajasthan Royals,wickets,8.0,149.0
3,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,runs,39.0,184.0
3,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,"Sardar Patel Stadium, Motera",Rajasthan Royals,runs,17.0,178.0
3,Deccan Chargers,Mumbai Indians,Deccan Chargers,field,Dr DY Patil Sports Academy,Mumbai Indians,runs,41.0,173.0
3,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Feroz Shah Kotla,Delhi Capitals,runs,40.0,178.0
3,Mumbai Indians,Punjab Kings,Mumbai Indians,field,Brabourne Stadium,Mumbai Indians,wickets,4.0,164.0
3,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Feroz Shah Kotla,Delhi Capitals,wickets,5.0,162.0
3,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,runs,67.0,189.0
3,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Eden Gardens,Kolkata Knight Riders,runs,24.0,182.0
3,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,bat,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,wickets,6.0,182.0
3,Mumbai Indians,Deccan Chargers,Mumbai Indians,bat,Brabourne Stadium,Mumbai Indians,runs,23.0,247.0
3,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,runs,63.0,179.0
3,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,Eden Gardens,Punjab Kings,wickets,8.0,201.0
3,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,Feroz Shah Kotla,Delhi Capitals,runs,37.0,185.0
3,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,bat,"Vidarbha Cricket Association Stadium, Jamtha",Rajasthan Royals,runs,2.0,160.0
3,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,runs,24.0,166.0
3,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Sawai Mansingh Stadium,Rajasthan Royals,wickets,9.0,154.0
3,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Eden Gardens,Kolkata Knight Riders,runs,14.0,182.0
3,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,M Chinnaswamy Stadium,Deccan Chargers,wickets,7.0,185.0
3,Punjab Kings,Mumbai Indians,Mumbai Indians,bat,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,wickets,6.0,155.0
3,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,bat,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,wickets,6.0,139.0
